Stream,About,avgsal,trends,contacts
Law,Law commonly refers to a system of rules created and enforced through social or governmental institutions to regulate behavior. It has been variously described as a science and the art of justice,2000000,"47,36,15,20,65","Mr. Pranav Sapra,8754963258,ps12@gmail.com,Ms. Hema Dwivedi,9658224750,hemad55@gmail.com"
Healthcare,"Healthcare is the maintenance or improvement of health via the prevention, diagnosis, treatment, recovery, or cure of disease, illness, injury, and other physical and mental impairments in people. Health care is delivered by health professionals and allied health fields. ",45000000,"35,40,42,49,55","Dr. Anup Krishna,6875429931,anupk0@gmail.com,Dr. Megha Reddy,9855654785,meghar@gmail.com"
Management,"Management (or managing) is the administration of an organization, whether it is a business, a not-for-profit organization, a government body and others. Management includes the activities of setting the strategy of an organization and coordinating the efforts of its employees (or of volunteers) to accomplish its objectives through the application of available resources, such as financial, natural, technological, and human resources.",3400000,"29,37,40,45,52","Mr. Abraham Korath,8755693258,abkorath@gmail.com,Ms. Alia Khan,7569332145,alikhan8@gmail.com"
Engineering,"Engineering is the use of scientific principles to design and build machines, structures, and other items, including bridges, tunnels, roads, vehicles, and buildings. The discipline of engineering encompasses a broad range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied mathematics, applied science, and types of application.",4650000,"40,43,42,49,58","Ms. Anandita Menon,8565696636,anaditamenon@gmail.com,Ms. Usha Banerjee,9653287415,ushab23@gmail.com"
Finance,"Finance is a term for matters regarding the management, creation, and study of money and investments. Specifically, it deals with the questions of how and why an individual, company or government acquires the money needed – called capital in the company context – and how they spend or invest that money. Finance is then often split per the following major categories: corporate finance, personal finance and public finance.",6800000,"37,43,15,50,56","Mr. Jayanth Gowda,9658321475,jayanth45@gmail.com, Mr. Arjun Rao,6588239176,arjrao3@gmail.com"
Sports,"Sport includes all forms of competitive physical activity or games which, through casual or organized participation, at least in part aim to use, maintain or improve physical ability and skills while providing enjoyment to participants, and in some cases, entertainment for spectators.",9600000,"15,20,69,30,44","Ms. Rekha Rao,7465983218,rekha48@gmail.com,Ms. Kriya John,9654256811,kriyaj99@gmail.com"
Language and communication,"Language allows people to communicate with great precision. The Language and Communication group studies how people use language in specific discourse contexts, to share information with others, and to persuade or otherwise affect them.",800000,"10,24,33,12,14","Ms. Mrudulla Raj,9658236589,mrraj12@gmail.com,Ms. Kristina Korath,8659332475,kk89@gmail.com"
Performing Arts,"Performing arts refers to forms of art in which artists use their voices, bodies or inanimate objects to convey artistic expression. It is different from visual arts, which is when artists use paint, canvas or various materials to create physical or static art objects. Performing arts include a range of disciplines which are performed in front of a live audience, inducing theatre, music, and dance.",85000000,"12,36,21,22,37","Mr. Dev Patel,9658223145,devp87@gmail.com,Ms. Rekha Lalith,8563669584,rekhalalith@gmail.com"
Applied and Visual arts,"The visual arts are art forms such as painting, drawing, printmaking, sculpture, ceramics, photography, video, filmmaking, design, crafts, and architecture. Many artistic disciplines such as performing arts, conceptual art, and textile arts also involve aspects of visual arts as well as arts of other types. Also included within the visual arts are the applied arts such as industrial design, graphic design, fashion design, interior design and decorative art. ",920000,"55,12,30, 33,41","Mr. Yash Beniwal,6589423588,yashb89@gmail.com,Ms. Meena Roy,9658856954,meenaroy45@gmail.com"
Science and math,"Mathematics includes the study of such topics as quantity (number theory), structure (algebra), space (geometry), and change (mathematical analysis). It has no generally accepted definition. Science is a systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.",6900000,"11,30,54,22,39","Ms. Tara Singh,9653258456,tara45@gmail.com,Mr. Pranav Chandran,8456329568,pc456@gmail.com"
Clerical and secretarial,"Clerical services include is a white-collar jobs where the worker conducts general office tasks, or performs similar sales-related tasks in a retail environment. The responsibilities of clerical workers commonly include record keeping, filing, staffing service counters, screening solicitors, and other administrative tasks. A secretary, administrative professional, or personal assistant is a person whose work consists of supporting management, including executives, using a variety of project management, communication, or organizational skills.",1200000,"24,22,56,12,35","Mr. Ananth Reddy,8545632254,ananthr44@gmail.com,Mr. John Paul,9655328452,johnpaul4@gmail.com"
Social Science,"Social science is the branch of science devoted to the study of societies and the relationships among individuals within those societies. In addition to sociology, it now encompasses a wide array of academic disciplines ",1000000,"25,64,30,15,22","Ms. Yashasvi Rao,7566953268,yashasvir12@gmail.com,Mr. Rhea Mehta,6589664138,rheamehta@gmail.com"
Education and Social Support,"Social services are a range of public services provided by the government, private, profit and non-profit organisations. These public services aim to create more effective organizations, build stronger communities, and promote equality and opportunity. Education services runs with the intention of imparting knowledge, considering people's feelings, experiences and needs.",800000,"30,18,21,17,16","Mr. Ram Sunil,9965853194,rams9@gmail.com,Mr. Arya Rao,8744596328,aryar455@gmail.com"
Armed Forces,"A military, also known collectively as armed forces, is a heavily armed, highly organized force primarily intended for warfare. It is typically officially authorized and maintained by a sovereign state, with its members identifiable by their distinct military uniform. The main task of the military is usually defined as defence of the state and its interests against external armed threats.",1000000,"34,42,13,20,11","Mr. Raunak Sahu,7544963258,raunaks3@gmail.com,Ms.Anita Krishnan,9655321865,anitakk@gmail.com"
Marketing and sales,"Sales and marketing are two business functions within an organization -- they both impact lead generation and revenue. The term, sales, refers to all activities that lead to the selling of goods and services. And marketing is the process of getting people interested in the goods and services being sold.",2300000,"24,62,31,35,29","Ms. Anupa Singh,9985632247,anupakaur77@gmail.com,Ms. Seema Kaur,9664253211,seemak55@gmail.com"
